Fold,Label,Oversampling,Model,AUC,F1,Precision,Recall,MCC,FNR,TNR,FPR,Anomalies,TP
4,PRODUCT,Oversampling_False,RandomForest,0.7644230769230769,0.0,0.0,0.0,-0.001467409487794766,1.0,0.9994802494802495,0.0005197505197505198,8,0
5,PRODUCT,Oversampling_False,RandomForest,0.8326822916666667,0.0,0.0,0.0,-0.0020800857345804912,1.0,0.9989583333333333,0.0010416666666666667,4,0
6,PRODUCT,Oversampling_False,RandomForest,0.9986595174262736,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
7,PRODUCT,Oversampling_False,RandomForest,0.8049081920903955,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
8,PRODUCT,Oversampling_False,RandomForest,0.5529026838219039,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
9,PRODUCT,Oversampling_False,RandomForest,0.6548836742880063,0.2,1.0,0.1111111111111111,0.33273327284074816,0.8888888888888888,1.0,0.0,9,1
10,PRODUCT,Oversampling_False,RandomForest,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,1
11,PRODUCT,Oversampling_False,RandomForest,0.5580524344569289,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
12,PRODUCT,Oversampling_False,RandomForest,0.6538075313807532,0.0,0.0,0.0,0.0,1.0,1.0,0.0,30,0
13,PRODUCT,Oversampling_False,RandomForest,0.3389261744966443,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
14,PRODUCT,Oversampling_False,RandomForest,0.6920444110526756,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
15,PRODUCT,Oversampling_False,RandomForest,0.9584775086505191,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,0
16,PRODUCT,Oversampling_False,RandomForest,0.8680555555555557,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6,0
17,PRODUCT,Oversampling_False,RandomForest,0.6114966880966297,0.0,0.0,0.0,0.0,1.0,1.0,0.0,59,0
18,PRODUCT,Oversampling_False,RandomForest,0.8122444210772286,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
19,PRODUCT,Oversampling_False,RandomForest,0.87431206685691,0.0,0.0,0.0,0.0,1.0,1.0,0.0,22,0
20,PRODUCT,Oversampling_False,RandomForest,0.6861244019138755,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11,0
21,PRODUCT,Oversampling_False,RandomForest,0.6134909409308278,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21,0
22,PRODUCT,Oversampling_False,RandomForest,0.9226327944572748,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0
23,PRODUCT,Oversampling_False,RandomForest,0.6289263947491797,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18,0
24,PRODUCT,Oversampling_False,RandomForest,0.8464208242950109,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5,0
25,PRODUCT,Oversampling_False,RandomForest,0.582716049382716,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
26,PRODUCT,Oversampling_False,RandomForest,0.6817190226876091,0.0,0.0,0.0,-0.0013089005235602095,1.0,0.9986910994764397,0.0013089005235602095,3,0
27,PRODUCT,Oversampling_False,RandomForest,0.9745576786978061,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9,0
28,PRODUCT,Oversampling_False,RandomForest,0.5893641242478451,0.15384615384615385,0.5,0.09090909090909091,0.21025843167367497,0.9090909090909091,0.9991055456171736,0.0008944543828264759,11,1
29,PRODUCT,Oversampling_False,RandomForest,0.5974462365591398,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0
1,PRODUCT,Oversampling_False,GradientBoost,0.8626998769987699,0.0975609756097561,0.2857142857142857,0.0588235294117647,0.12185615162956384,0.9411764705882352,0.9969249692496924,0.003075030750307503,34,2
2,PRODUCT,Oversampling_False,GradientBoost,0.781263755074094,0.0,0.0,0.0,-0.0038174524704903817,1.0,0.9989729544676481,0.0010270455323519343,42,0
3,PRODUCT,Oversampling_False,GradientBoost,0.8547818568768288,0.0,0.0,0.0,0.0,1.0,1.0,0.0,42,0
